Name,Structure,hERG inhibitor,hERG inhibitor_binary
CHEMBL108807,COC(=O)N[C@H](C(=O)N[C@@H](CC1=CC=CC=C1)C(O)CN(CC(C)C)NC(=O)[C@@H](NC(=O)OC)C(C)C)C(C)C,No,0
CHEMBL108471,CC(C)(C)OC(=O)N[C@@H](CC1=CC=CC=C1)[C@@H](O)C[C@@H](CC1=CC=CC=C1)C(=O)N[C@H]1CCCC[C@H]1O,No,0
CHEMBL108429,COCCOC(=O)NC(C(=O)N[C@@H](CC1=CC=CC=C1)[C@H](O)CN(CC1CCCCC1)NC(=O)C(NC(=O)OCCOC)C(C)C)C(C)C,No,0
CHEMBL108102,COC(=O)N[C@H](C(=O)N[C@@H](CC1=CC=CC=C1)C(O)CN(CC1=CC=C(F)C=C1)NC(=O)[C@@H](NC(=O)OC)C(C)C)C(C)C,No,0
CHEMBL10777,CC(C)(C)NC(=O)C1=CC=CC=C1C[C@@H](O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](CSC1=CC=CC=C1)NS(C)(=O)=O,No,0
CHEMBL107748,CCNC(=O)[C@@H](NC(=O)C1=CC=CC=C1C1=CC=CC=C1)[C@@H]1N[C@@H](C(=O)NCCNC(=O)[C@@H]2N[C@@H]([C@H](NC(=O)C3=CC=CC=C3C3=CC=CC=C3)C(=O)NCC)SC2(C)C)C(C)(C)S1,No,0
CHEMBL107744,CC1(C)S[C@H]([C@H](NC(=O)CC2=CC=CC=C2)C(=O)NCC2=CC=CC=C2)N[C@H]1C(=O)N[C@H](CC1=CC=CC=C1)[C@H](O)CC(=O)N[C@@H](CO)C1=CC=CC=C1,No,0
CHEMBL107701,CCOC(=O)NC(C(=O)NN(CC1CCCCC1)C[C@@H](O)[C@H](CC1=CC=CC=C1)NC(=O)C(NC(=O)OCCOC)C(C)C)C(C)C,No,0
CHEMBL107559,CCOC(=O)NC(C(=O)NN(CC1CCCCC1)C[C@@H](O)[C@H](CC1=CC=CC=C1)NC(=O)C(NC(=O)OC)C(C)C)C(C)C,No,0
CHEMBL107393,CCNC(=O)[C@@H](NC(=O)CC1=CC=CS1)[C@@H]1N[C@@H](C(=O)NCCNC(=O)[C@@H]2N[C@@H]([C@H](NC(=O)CC3=CC=CS3)C(=O)NCC)SC2(C)C)C(C)(C)S1,No,0
CHEMBL107369,COC(=O)[C@@H]1CC2=CC=CC=C2[C@@H]1NC(=O)[C@H](CC1=CC=CC=C1)C[C@H](O)[C@H](CC1=CC=CC=C1)NC(=O)OC(C)(C)C,No,0
CHEMBL107310,CC1(C)S[C@H]([C@H](NC(=O)CC2=CC=CC=C2)C(=O)NCC(=O)O)N[C@H]1C(=O)NCCNC(=O)[C@@H]1N[C@@H]([C@H](NC(=O)CC2=CC=CC=C2)C(=O)NCC(=O)O)SC1(C)C,No,0
CHEMBL107259,CC(C)(C)OC(=O)N[C@@H](CC1=CC=C(O)C=C1)[C@@H](O)[C@@H]1CCC[C@H]1C(=O)NCC1=CC=CC=C1,No,0
CHEMBL107250,CC1(C)S[C@H]([C@@H](CO)NC(=O)CC2=CC=CC=C2)N[C@H]1C(=O)NCCNC(=O)[C@@H]1N[C@@H]([C@@H](CO)NC(=O)CC2=CC=CC=C2)SC1(C)C,No,0
CHEMBL10725,CC(C)(C)NC(=O)C1=CC=CC=C1C[C@@H](O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](CSC1=CC=C2C=CC=CC2=N1)NS(C)(=O)=O,No,0
CHEMBL107015,CCNC(=O)[C@@H](NS(=O)(=O)CC1=CC=CC=C1)[C@@H]1N[C@@H](C(=O)NCCNC(=O)[C@@H]2N[C@@H]([C@H](NS(=O)(=O)CC3=CC=CC=C3)C(=O)NCC)SC2(C)C)C(C)(C)S1,No,0
CHEMBL106991,CC(C)(C)OC(=O)CNC(=O)[C@@H](NC(=O)CC1=CC=CC=C1)[C@@H]1N[C@@H](C(=O)NCCNC(=O)[C@@H]2N[C@@H]([C@H](NC(=O)CC3=CC=CC=C3)C(=O)NCC(=O)OC(C)(C)C)SC2(C)C)C(C)(C)S1,No,0
CHEMBL106965,CCNC(=O)[C@@H](NC(=O)C1=CC=CC=C1OC1=CC=CC=C1)[C@@H]1N[C@@H](C(=O)NCCNC(=O)[C@@H]2N[C@@H]([C@H](NC(=O)C3=CC=CC=C3OC3=CC=CC=C3)C(=O)NCC)SC2(C)C)C(C)(C)S1,No,0
CHEMBL106805,CC(C)CNC(=O)C[C@@H](O)[C@@H](CC1=CC=CC=C1)NC(=O)[C@@H]1N[C@@H]([C@H](NC(=O)CC2=CC=CC=C2)C(=O)NCC2=CC=CC=C2)SC1(C)C,No,0
CHEMBL106765,CC1(C)S[C@H]([C@H](NC(=O)CC2=CC=CC=C2)C(=O)NCC2=CC=CC=C2)N[C@H]1C(=O)N[C@H](CC1=CC=CC=C1)[C@H](O)CC(=O)NCC1=CC=CC=C1,No,0
CHEMBL106748,CC1(C)S[C@H]([C@H](NC(=O)CC2=CC=CC=C2)C(=O)N2CCCCC2)N[C@H]1C(=O)NCCNC(=O)[C@@H]1N[C@@H]([C@H](NC(=O)CC2=CC=CC=C2)C(=O)N2CCCCC2)SC1(C)C,No,0
CHEMBL106633,CCNC(=O)[C@@H](NC(=O)/C=C\C1=CC=CC=C1)[C@@H]1N[C@@H](C(=O)NCCNC(=O)[C@@H]2N[C@@H]([C@H](NC(=O)/C=C\C3=CC=CC=C3)C(=O)NCC)SC2(C)C)C(C)(C)S1,No,0
CHEMBL106623,CC1(C)S[C@H]([C@H](NC(=O)CC2=CC=CC=C2)C(=O)OCC2=CC=CC=C2)N[C@H]1C(=O)NCCNC(=O)[C@@H]1N[C@@H]([C@H](NC(=O)CC2=CC=CC=C2)C(=O)OCC2=CC=CC=C2)SC1(C)C,No,0
CHEMBL106530,CC(C)[C@H](NC(=O)[C@H](CC1=CC=CC=C1)C[C@H](O)CN1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)NC(C)(C)C)C(=O)NC1=CC=C2C=CC=CC2=N1,No,0
CHEMBL106486,CC(C)[C@H](NC(=O)OCC1=CC=CC=N1)C(=O)N[C@@H](CC1=CC=CC=C1)C(O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](NC(=O)OCC1=CC=CC=N1)C(C)C,No,0
CHEMBL106282,CCNC(=O)[C@@H](NC(=O)C1=CC=CC=C1CC1=CC=CC=C1)[C@@H]1N[C@@H](C(=O)NCCNC(=O)[C@@H]2N[C@@H]([C@H](NC(=O)C3=CC=CC=C3CC3=CC=CC=C3)C(=O)NCC)SC2(C)C)C(C)(C)S1,No,0
CHEMBL105880,CC1(C)S[C@H]([C@H](NC(=O)CC2=CC=CC=N2)C(=O)NCC2=CC=C(Cl)C=C2)N[C@H]1C(=O)NCCNC(=O)[C@@H]1N[C@@H]([C@H](NC(=O)CC2=CC=CC=N2)C(=O)NCC2=CC=C(Cl)C=C2)SC1(C)C,No,0
CHEMBL105879,CC1(C)S[C@H]([C@H](NC(=O)CC2=CC=CC=C2)C(=O)NCC2=CC=CC=N2)N[C@H]1C(=O)NCCNC(=O)[C@@H]1N[C@@H]([C@H](NC(=O)CC2=CC=CC=C2)C(=O)NCC2=CC=CC=N2)SC1(C)C,No,0
CHEMBL105851,CCNC(=O)[C@@H](NC(=O)CC1=CC=CC=C1)[C@@H]1N[C@@H](C(=O)NCCNC(=O)[C@@H]2N[C@@H]([C@H](NC(=O)CC3=CC=CC=C3)C(=O)NCC)SC2(C)C)C(C)(C)S1,No,0
CHEMBL105695,CC1(C)S[C@H]([C@H](NC(=O)CC2=CC=CC=C2)C(N)=O)N[C@H]1C(=O)NCCNC(=O)[C@@H]1N[C@@H]([C@H](NC(=O)CC2=CC=CC=C2)C(N)=O)SC1(C)C,No,0
CHEMBL105459,CNC(=O)[C@@H](NC(=O)[C@H](OCC1=CC=CC=C1)[C@H](O)[C@@H](O)[C@@H](OCC1=CC=CC=C1)C(=O)N[C@H](C(=O)NC)C(C)C)C(C)C,No,0
CHEMBL105319,CC(C)(C)OC(=O)N[C@@H](CC1=CC=CC=C1)[C@@H](O)C[C@@H](CSC1=CC=CC=C1)C(=O)N[C@@H]1C2=CC=CC=C2C[C@H]1O,No,0
CHEMBL105299,CC(C)(C)OC(=O)N[C@@H](CC1=CC=CC=C1)[C@@H](O)C[C@@H](CC1=CC=CC=C1)C(=O)N[C@@]1(C)C2=CC=CC=C2C[C@H]1O,No,0
CHEMBL104683,CCNC(=O)[C@@H](NC(=O)CC(C)C)[C@@H]1N[C@@H](C(=O)NCCNC(=O)[C@@H]2N[C@@H]([C@H](NC(=O)CC(C)C)C(=O)NCC)SC2(C)C)C(C)(C)S1,No,0
CHEMBL104576,CC1(C)S[C@H]([C@H](NC(=O)CC2=CC=CC=C2)C(=O)NCC2=CC=CC=C2)N[C@H]1C(=O)N[C@H](CC1=CC=CC=C1)[C@H](O)CC(=O)NC1=NC2=CC=CC=C2N1,No,0
CHEMBL104525,COC(=O)[C@@H](NC(=O)CC1=CC=CC=C1)[C@@H]1N[C@@H](C(=O)NCCNC(=O)[C@@H]2N[C@@H]([C@H](NC(=O)CC3=CC=CC=C3)C(=O)OC)SC2(C)C)C(C)(C)S1,No,0
CHEMBL104509,CC1(C)S[C@H]([C@H](NC(=O)CC2=CC=CC=C2)C(=O)NCC2=CC=CC=C2)NC1C(=O)NCCCNC(=O)[C@@H]1N[C@@H]([C@H](NC(=O)CC2=CC=CC=C2)C(=O)NCC2=CC=CC=C2)SC1(C)C,No,0
CHEMBL104471,CC(C)=CCCC(C)C1=C(O)C(CCC2=CC=CC=C2)(C(=O)NC(C)(C)C)OC1=O,No,0
CHEMBL104375,CC1(C)S[C@H]([C@H](NC(=O)CC2=CC=CC=C2)C(=O)NCC2=CC=CC=C2)N[C@H]1C(=O)N[C@H](CC1=CC=CC=C1)[C@H](O)CC(N)=O,No,0
CHEMBL104118,CCNC(=O)[C@@H](NC(=O)CCC1=CC=CC=C1)[C@@H]1N[C@@H](C(=O)NCCNC(=O)[C@@H]2N[C@@H]([C@H](NC(=O)CCC3=CC=CC=C3)C(=O)NCC)SC2(C)C)C(C)(C)S1,No,0
CHEMBL103821,CC1=CC=C(C[C@H](C[C@H](O)[C@H](CC2=CC=CC=C2)NC(=O)OC(C)(C)C)C(=O)N[C@@H]2C3=CC=CC=C3C[C@H]2O)C=C1,No,0
CHEMBL103783,CC(C)[C@H](NC(=O)CC1NC(=O)NC1=O)C(=O)N[C@@H](CC1=CC=CC=C1)[C@@H](O)[C@H](O)[C@H](CC1=CC=CC=C1)NC(=O)[C@@H](NC(=O)CC1NC(=O)NC1=O)C(C)C,No,0
CHEMBL103400,CC(C)(C)OC(=O)N[C@@H](CC1=CC=CC=C1)[C@@H](O)C[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H]1C2=CC=CC=C2[C@@H](O)[C@H]1O,No,0
CHEMBL103217,COC(=O)C1=C(Br)C(OC)=C2OCOC2=C1C1=C2OCOC2=C(OC)C(Br)=C1C(=O)OC,No,0
CHEMBL103213,CC(C)(C)OC(=O)N[C@@H](CC1=CC=CC=C1)[C@@H](O)C[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H]1C2=CC=CC=C2OC[C@H]1O,No,0
CHEMBL102664,CC1(C)S[C@H]([C@H](NC(=O)CC2=CC=CC=C2)C(=O)NCC2=CC=CC=C2)N[C@H]1C(=O)NCCNC(=O)[C@@H]1N[C@@H]([C@H](NC(=O)CC2=CC=CC=C2)C(=O)NCC2=CC=CC=C2)SC1(C)C,No,0
CHEMBL101962,COC1=C(OC)C(OC)=CC(CC(=O)N[C@H](C(=O)N[C@@H](CC2=CC=CC=C2)[C@@H](O)[C@H](O)[C@H](CC2=CC=CC=C2)NC(=O)[C@@H](NC(=O)CC2=CC(OC)=C(OC)C(OC)=C2)C(C)C)C(C)C)=C1,No,0
CHEMBL101560,O=C(N[C@@H](CC1=CC=CC=C1)[C@@H](O)C[C@@H](CC1=CC=CC=C1)C(=O)N[C@H]1C2=CC=CC=C2C[C@H]1O)OC1CCCC1,No,0
CHEMBL101111,COC1=CC(CC(=O)N[C@H](C(=O)N[C@@H](CC2=CC=CC=C2)C[C@H](O)[C@H](CC2=CC=CC=C2)NC(=O)[C@@H](NC(=O)CC2=CC(OC)=C(OC)C(OC)=C2)C(C)C)C(C)C)=CC(OC)=C1OC,No,0
CHEMBL100412,CC(C)[C@H](NC(=O)CSC1=NC=CC=N1)C(=O)N[C@@H](CC1=CC=CC=C1)C[C@H](O)[C@H](CC1=CC=CC=C1)NC(=O)[C@@H](NC(=O)CSC1=NC=CC=N1)C(C)C,No,0
CHEMBL100310,CC(C)[C@H](NC(=O)[C@H](CC1=CC=CC=C1)C[C@H](O)[C@H](CC1=CC=CC=C1)NC(=O)OC(C)(C)C)C(=O)NCC(O)CO,No,0
CHEMBL100271,CC(C)[C@@H]1SCC[C@@H]1OC(=O)N[C@@H](CC1=CC=CC=C1)[C@H](O)CN1C[C@H]2CCS[C@H]2C[C@H]1C(=O)NC(C)(C)C,No,0
CHEMBL100089,CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@H](CC1=CC=CC=C1)NC(=O)[C@@H](CS(=O)(=O)C1=CC=C2C=CC=CC2=C1)NS(C)(=O)=O,No,0
CHEMBL100048,CC(C)(C)NC(=O)[C@@H]1C[C@@H]2SCC[C@@H]2CN1C[C@@H](O)[C@H](CSC1=CC=CC=C1)NC(=O)O[C@H]1CCS(=O)(=O)C1,No,0
CHEMBL100040,CC(C)(C)NC(=O)[C@@H]1C[C@@H]2SCC[C@@H]2CN1C[C@@H](O)[C@H](CC1=CC=CC=C1)NC(=O)[C@@H](CS(=O)(=O)C1=CC=C(F)C=C1)NC(=O)C(F)(F)F,No,0
CHEMBL100039,CC(C)CCN(C[C@@H](O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](CC(N)=O)NC(=O)OCC1=CC=CC=C1)C(=O)NC(C)(C)C,No,0
CHEMBL100034,CCCCNC(=O)N(CC(C)C)C[C@@H](O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](CC(N)=O)NC(=O)C1=CC=C2C=CC=CC2=N1,No,0
